Date : 2024-05-16 15:30:41
Directory : /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app
Total : 64 files,  3205 codes, 46 comments, 409 blanks, all 3660 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/repository/course_paper.py  | Python           |         20 |          0 |         12 |         32 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/repository/mapper.py        | Python           |         33 |          0 |          8 |         41 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/repository/stage.py         | Python           |         12 |          0 |         12 |         24 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/serializers/course_paper.py | Python           |         17 |          0 |          8 |         25 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/serializers/openapi: 3.yml  | YAML             |        149 |          0 |          3 |        152 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/serializers/stage.py        | Python           |         14 |          0 |          9 |         23 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/services/course_paper.py    | Python           |         37 |          0 |         17 |         54 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/tests.py                    | Python           |          1 |          1 |          2 |          4 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/applications/views.py                    | Python           |         86 |          1 |         11 |         98 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/course_papers/__init__.py                | Python           |          0 |          0 |          1 |          1 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/course_papers/asgi.py                    | Python           |         10 |          0 |          7 |         17 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/course_papers/settings.py                | Python           |         86 |         16 |         35 |        137 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/course_papers/urls.py                    | Python           |         28 |          0 |          3 |         31 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/course_papers/wsgi.py                    | Python           |         10 |          0 |          7 |         17 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/manage.py                                | Python           |         17 |          1 |          5 |         23 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/requirements.txt                         | pip requirements |          7 |          0 |          0 |          7 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/.gitlab-ci.yml                               | YAML             |         41 |          0 |          2 |         43 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/Dockerfile                                   | Docker           |         12 |          0 |          6 |         18 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/cmd/main.go                                  | Go               |         36 |          0 |         11 |         47 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/docker-compose.yml                           | YAML             |         10 |          0 |          0 |         10 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/go.mod                                       | Go Module File   |         21 |          0 |          4 |         25 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/go.sum                                       | Go Checksum File |         43 |          0 |          1 |         44 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/app/app.go                          | Go               |         33 |          0 |         10 |         43 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/config.go                           | Go               |         79 |          0 |         17 |         96 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/handler/course_papers.go            | Go               |        122 |          0 |         20 |        142 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/handler/handler.go                  | Go               |         20 |          0 |          7 |         27 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/handler/middleware.go               | Go               |         13 |          0 |          3 |         16 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/dto/course_paper.go         | Go               |          5 |          0 |          2 |          7 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/dto/stage.go                | Go               |          4 |          0 |          2 |          6 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/models/course_paper.go      | Go               |         11 |          0 |          3 |         14 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/models/stage.go             | Go               |          8 |          0 |          3 |         11 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/storage.go                  | Go               |        131 |          0 |         20 |        151 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/tools/helper.go                              | Go               |          4 |          0 |          2 |          6 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/course_papers/course_paper.templ       | templ            |        153 |          0 |         16 |        169 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/course_papers/course_paper_templ.go    | Go               |        564 |          3 |         19 |        586 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/index.templ                            | templ            |         39 |          0 |          3 |         42 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/index_templ.go                         | Go               |         71 |          3 |          6 |         80 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/pagination/pagination.templ            | templ            |         65 |          0 |          6 |         71 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/pagination/pagination_templ.go         | Go               |        171 |          3 |          9 |        183 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/params/helper.go                       | Go               |         15 |          0 |          3 |         18 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/params/page_display.go                 | Go               |         55 |          0 |          6 |         61 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/sidenav.templ                          | templ            |          6 |          0 |          2 |          8 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/sidenav_templ.go                       | Go               |         28 |          3 |          5 |         36 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/stages/stage.templ                     | templ            |        135 |          0 |         15 |        150 |
| /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/stages/stage_templ.go                  | Go               |        522 |          3 |         18 |        543 |
| Total                                                                                                              |                  |      3,205 |         46 |        409 |      3,660 |
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
