Date : 2024-05-15 02:40:14
Directory : /Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app
Total : 58 files,  2053 codes, 40 comments, 342 blanks, all 2435 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         15 |        965 |          9 |        124 |      1,098 |
| Python           |         24 |        459 |         22 |        165 |        646 |
| YAML             |          7 |        330 |          0 |         12 |        342 |
| templ            |          3 |        174 |          0 |         17 |        191 |
| Go Checksum File |          1 |         43 |          0 |          1 |         44 |
| Docker           |          3 |         30 |          1 |         13 |         44 |
| Go Module File   |          1 |         21 |          0 |          4 |         25 |
| Properties       |          1 |         10 |          8 |          3 |         21 |
| Makefile         |          1 |          8 |          0 |          3 |         11 |
| pip requirements |          1 |          7 |          0 |          0 |          7 |
| Ini              |          1 |          6 |          0 |          0 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         58 |      2,053 |         40 |        342 |      2,435 |
| . (Files)                                                                                                          |          3 |         56 |          0 |          6 |         62 |
| nginx                                                                                                              |          3 |         56 |          8 |          7 |         71 |
| nginx (Files)                                                                                                      |          2 |         46 |          0 |          4 |         50 |
| nginx/conf                                                                                                         |          1 |         10 |          8 |          3 |         21 |
| src                                                                                                                |         52 |      1,941 |         32 |        329 |      2,302 |
| src/backend                                                                                                        |         29 |        675 |         23 |        175 |        873 |
| src/backend (Files)                                                                                                |          5 |         84 |          2 |         12 |         98 |
| src/backend/applications                                                                                           |         19 |        457 |          5 |        110 |        572 |
| src/backend/applications (Files)                                                                                   |          6 |        108 |          3 |         23 |        134 |
| src/backend/applications/decorators                                                                                |          1 |         12 |          0 |          2 |         14 |
| src/backend/applications/migrations                                                                                |          2 |         27 |          1 |          8 |         36 |
| src/backend/applications/model                                                                                     |          3 |         28 |          1 |          8 |         37 |
| src/backend/applications/repository                                                                                |          3 |         65 |          0 |         32 |         97 |
| src/backend/applications/serializers                                                                               |          3 |        180 |          0 |         20 |        200 |
| src/backend/applications/services                                                                                  |          1 |         37 |          0 |         17 |         54 |
| src/backend/course_papers                                                                                          |          5 |        134 |         16 |         53 |        203 |
| src/web                                                                                                            |         23 |      1,266 |          9 |        154 |      1,429 |
| src/web (Files)                                                                                                    |          5 |        127 |          0 |         13 |        140 |
| src/web/cmd                                                                                                        |          1 |         36 |          0 |         11 |         47 |
| src/web/internal                                                                                                   |         10 |        373 |          0 |         81 |        454 |
| src/web/internal (Files)                                                                                           |          1 |         79 |          0 |         17 |         96 |
| src/web/internal/app                                                                                               |          1 |         33 |          0 |         10 |         43 |
| src/web/internal/handler                                                                                           |          3 |        102 |          0 |         24 |        126 |
| src/web/internal/storage                                                                                           |          5 |        159 |          0 |         30 |        189 |
